German,English
ich, I
sie, she
das, the
ist, is
du, you
nicht, not
die, the
es, it
und, and
der, the
wir, weather
was, What
zu, to
er, he
ein, a
in, in
ja, Yes
mir, me
mit, with
wie, how
den, the
mich, me
auf, on
dass, that
aber, but
eine, one
so, so
hat, Has
hier, here
haben, to have
f?r, for
sind, are
war, was
von, from
wenn, if
dich, you
ihr, your
nein, no
habe, have
an, at
bin, am
noch, still
nur, only
da, there
dir, to you
sich, themselves
einen, a
uns, US
hast, have
dem, to the
kann, can
gut, Well
auch, even
schon, beautiful
als, as
sein, be
mal, times
jetzt, now
ihn, him
dann, then
aus, the end
meine, my
um, around
im, in the
wird, will
mein, my
bist, are you
doch, but
alles, All
wei?, White
keine, no
oder, or
nach, after
s, s
nichts, nothing
man, one
muss, got to
werden, will
will, want
ihnen, them
geht, goes
wo, Where
etwas, some
oh, Oh
mehr, more
bei, at
also, so
bitte, You're welcome
immer, always
hab, have
warum, why
vor, before
los, Come on
konnen, can
wieder, again
sagen, to say
machen, do
danke, thanks
sehr, very
alle, Everyone
denn, because
mann, man
tun, to do
ihm, him
zum, to the
gehen, walk
sehen, see
vielleicht, perhaps
einem, a
wer, who
ihre, their
diese, these
euch, you
einer, a
komm, come over
uber, above
gibt, gives
okay, OK
wissen, to know
deine, yours
mussen, have to
soll, target
werde, will
nie, never
wirklich, really
hey, hey
kein, no
viel, much
weg, path
w?rde, would
tut, does
am, at the
des, of
einfach, simple
leben, Life
hatte, would have
zeit, Time
weil, because
willst, want
kommen, come
dein, your
heute, today
kommt, comes
wollen, want
damit, in order to
ganz, quite
w?re, were
wollte, wanted to
wei?t, whisper
ok, OK
sicher, for sure
gesagt, said
frau, Mrs
nun, well
bis, until
wurde, became
leid, suffering
na, n / A
kannst, can
macht, power
dieser, this
zur?ck, return
lassen, permit
hallo, Hello
meinen, say
gott, God
seine, his
h?tte, would have
zwei, two
k?nnte, could
genau, precisely
waren, was
zur, to the
lass, let
klar, clear
morgen, morning
leute, people
vater, father
sch?n, Nice
glaube, faith
mr., mr.
ab, away
gerade, just
tag, Day
gesehen, seen
reden, talk
wohl, well
liebe, love
sollte, should
sagte, said
unsere, our
jemand, someone
geld, money
durch, by
ob, if
keinen, none
mutter, mother
raus, Out
gemacht, made
paar, pair
mach, make up
passiert, happened
dachte, thought
besser, better
musst, must
wieso, how come
sir, sir
dieses, this
selbst, self
geh?rt, heard
m?chte, would like to
ohne, without
h?r, hear
her, on
sag, say
meiner, mine
anderen, others
helfen, help
nacht, night
finden, Find
diesen, this
gute, quality
wirst, become
lange, Long
nat?rlich, Naturally
ach, Oh
meinem, my
gar, at all
ins, into the
sei, may be
dort, there
weiter, Further
geben, give
seit, since
gleich, same
sagt, says
recht, Law
ihren, their
richtig, correct
ordnung, order
vom, from the
h?ren, hear
sieht, sees
davon, of that
daf?r, Therefore
geh, go
diesem, This
wegen, because
hause, home
sollten, should
m?dchen, girl
hin, there
sollen, should
abend, evening
haus, House
denke, think
viele, many
drei, three
deinen, yours
freund, friend
guten, good
unser, our
warte, wait
machst, make
menschen, people
essen, eat
angst, anxiety
bleiben, stay
zusammen, together
welt, world
unter, under
habt, have
schnell, fast
andere, other
tot, dead
getan, did
darf, allowed
erst, first
rein, pure
stimmt, Right
nehmen, to take
kinder, children
eines, one
glauben, believe
bringen, bring
ganze, whole
genug, enough
schei?e, crap
brauchen, to need
gegen, against
moment, moment
junge, Boy
steht, stands
sonst, otherwise
musik, music
arbeit, job
seid, are
ihrer, of their
fragen, ask
herr, Mr
dabei, included
hei?t, called
familie, family
warten, wait
niemand, nobody
sofort, immediately
bevor, before
jahre, years
einmal, once
problem, problem
sohn, son
wann, when
brauche, need
fertig, done
halt, stop
allein, alone
beim, at the
sprechen, speak
beide, both
gefunden, found
hatten, had
sache, Thing
hilfe, help
verdammt, Damn it
ne, ne
jeder, everyone
warst, wicked
gern, gladly
konnte, could
dar?ber, about that
halten, keep
siehst, see
verstehe, understand
jahren, Years
kam, came
kind, child
wusste, knew
wahr, true
seinen, his
dazu, to
bruder, brothers
daran, to it
ihrem, Yours
denken, think
k?nnten, could
dank, thanks to
w?rden, would
lieber, rather
fall, case
deiner, yours
sehe, see
egal, no matter
kennen, know
deinem, your
vergessen, forget
frage, question
mache, make
komme, come
sage, legend
mag, like
sieh, look
echt, real
gib, give
eigentlich, actually
jeden, every
dad, dad
gab, gave
uhr, clock
stadt, city
m?nner, men
baby, infant
fahren, travel
namen, name
bekommen, receive
kopf, head
hi, Hi
gehe, go
kleine, small
sp?ter, later
gl?ck, happiness
letzte, last
freunde, friends
n, n
all, Alles
darauf, thereon
ende, end
dr., Dr.
bald, soon
t?ten, kill
dinge, things
meinst, mean
toll, Great
eins, one
minuten, minute
vielen, many
bereit, ready
weit, far
ahnung, idea
seiner, his
bisschen, little
t?r, door
auto, automobile
jungs, guys
eure, your
augen, eyes
polizei, police
stehen, stand
sterben, die
h?tten, have
drau?en, outdoors
kenne, know
fast, nearly
runter, down
vorbei, past
treffen, meet
gerne, gladly
dran, your turn
wurden, became
arbeiten, work
mom, Mom
verr?ckt, crazy
neue, new
ging, went
hinter, Behind
sorgen, care for
einzige, only one
jemanden, someone
darum, therefore
tochter, daughter
braucht, needs
idee, idea
schwester, sister
drin, in it
ruhig, quiet
sah, saw
ganzen, entire
spat, late
ziemlich, quite
solltest, ward
name, Surname
sogar, even
kurz, short
kerl, Guy
frauen, women
liegt, lies
suchen, Looking for
finde, find
je, ever
woher, where
lang, long
job, job
keiner, none
seinem, his
hort, hearing
verstehen, to understand
spielen, to play
uberhaupt, at all
teufel, Devil
verstanden, Understood
verloren, lost
grosse, size
hand, hand
grund, reason
jahr, year
kommst, come
mama, mummy
ruhe, Quiet
gewesen, been
tod, death
stunden, hours
hoffe, hope
denkst, think
oben, above
gestern, yesterday
versuchen, try
art, kind
letzten, last
schatz, sweetheart
endlich, at last
he, head
nimm, take
etwa, approximately
erzahlt, told
lauft, runs
schwer, heavy
anders, different
miss, miss
musste, had to
funf, five
wasser, water
l?sst, leaves
erste, first
versucht, tries
gekommen, came
geschichte, story
wenig, little
holen, to fetch
bedeutet, means
nett, kind